ts,source,url,loc_type,loc_name,country_code,adm1,adm2,lat,lon,feature_id
2025-11-05 22:45:00+00:00,naija247news.com,https://naija247news.com/politics-governance/obasas-son-emerges-agege-council-chairman-after-predecessors-resignation/,4,"Agege, Lagos, Nigeria",NI,NI05,191288,6.61426,3.32437,-1997850
2025-11-05 22:45:00+00:00,naija247news.com,https://naija247news.com/politics-governance/obasas-son-emerges-agege-council-chairman-after-predecessors-resignation/,1,Nigeria,NI,NI,,10.0,8.0,NI
2025-11-05 22:45:00+00:00,naija247news.com,https://naija247news.com/politics-governance/obasas-son-emerges-agege-council-chairman-after-predecessors-resignation/,4,"Lagos, Lagos, Nigeria",NI,NI05,191416,6.45306,3.39583,-2017355
2025-11-05 22:45:00+00:00,irishexaminer.com,https://www.irishexaminer.com/opinion/commentanalysis/arid-41737359.html,1,Irish,EI,EI,,53.0,-8.0,EI
2025-11-05 22:45:00+00:00,irishexaminer.com,https://www.irishexaminer.com/opinion/commentanalysis/arid-41737359.html,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY
2025-11-05 22:45:00+00:00,lithgowmercury.com.au,https://www.lithgowmercury.com.au/story/9105148/swanee-lives-in-brother-jimmy-barnes-shadow-and-doesnt-care/,1,Australia,AS,AS,,-25.0,135.0,AS
2025-11-05 22:45:00+00:00,lithgowmercury.com.au,https://www.lithgowmercury.com.au/story/9105148/swanee-lives-in-brother-jimmy-barnes-shadow-and-doesnt-care/,4,"Melbourne, Victoria, Australia",AS,AS07,5430,-37.8167,144.967,-1586844
2025-11-05 22:45:00+00:00,ideastream.org,https://www.ideastream.org/npr-news/2025-11-05/yes-trumps-tariffs-are-raising-billions-but-at-a-steep-economic-cost,4,"Hamburg, Hamburg, Germany",GM,GM04,40698,53.55,10.0,-1785434
2025-11-05 22:45:00+00:00,ideastream.org,https://www.ideastream.org/npr-news/2025-11-05/yes-trumps-tariffs-are-raising-billions-but-at-a-steep-economic-cost,1,Ukraine,UP,UP,,49.0,32.0,UP
2025-11-05 22:45:00+00:00,ideastream.org,https://www.ideastream.org/npr-news/2025-11-05/yes-trumps-tariffs-are-raising-billions-but-at-a-steep-economic-cost,3,"Georgetown University, District Of Columbia, United States",US,USDC,DC001,38.9073,-77.0726,531568
2025-11-05 22:45:00+00:00,ideastream.org,https://www.ideastream.org/npr-news/2025-11-05/yes-trumps-tariffs-are-raising-billions-but-at-a-steep-economic-cost,1,American,US,US,,39.828175,-98.5795,US
2025-11-05 22:45:00+00:00,ideastream.org,https://www.ideastream.org/npr-news/2025-11-05/yes-trumps-tariffs-are-raising-billions-but-at-a-steep-economic-cost,1,Germany,GM,GM,,51.5,10.5,GM
2025-11-05 22:45:00+00:00,ideastream.org,https://www.ideastream.org/npr-news/2025-11-05/yes-trumps-tariffs-are-raising-billions-but-at-a-steep-economic-cost,1,Russia,RS,RS,,60.0,100.0,RS
2025-11-05 22:45:00+00:00,ideastream.org,https://www.ideastream.org/npr-news/2025-11-05/yes-trumps-tariffs-are-raising-billions-but-at-a-steep-economic-cost,3,"Columbus, Ohio, United States",US,USOH,OH049,39.9612,-82.9988,1080996
2025-11-05 22:45:00+00:00,ideastream.org,https://www.ideastream.org/npr-news/2025-11-05/yes-trumps-tariffs-are-raising-billions-but-at-a-steep-economic-cost,2,"Ohio, United States",US,USOH,,40.3736,-82.7755,OH
2025-11-05 22:45:00+00:00,ideastream.org,https://www.ideastream.org/npr-news/2025-11-05/yes-trumps-tariffs-are-raising-billions-but-at-a-steep-economic-cost,3,"White House, District Of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871
2025-11-05 22:45:00+00:00,ideastream.org,https://www.ideastream.org/npr-news/2025-11-05/yes-trumps-tariffs-are-raising-billions-but-at-a-steep-economic-cost,1,America,US,US,,39.828175,-98.5795,US
2025-11-05 22:45:00+00:00,californiatelegraph.com,http://www.californiatelegraph.com/news/278676867/clearpoint-neuro-to-participate-in-multiple-global-healthcare-conferences-in-the-fourth-quarter-of-2025,1,America,US,US,,39.828175,-98.5795,US
2025-11-05 22:45:00+00:00,californiatelegraph.com,http://www.californiatelegraph.com/news/278676867/clearpoint-neuro-to-participate-in-multiple-global-healthcare-conferences-in-the-fourth-quarter-of-2025,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY
2025-11-05 22:45:00+00:00,californiatelegraph.com,http://www.californiatelegraph.com/news/278676867/clearpoint-neuro-to-participate-in-multiple-global-healthcare-conferences-in-the-fourth-quarter-of-2025,3,"Solana Beach, California, United States",US,USCA,CA073,32.9912,-117.271,1656633
2025-11-05 22:45:00+00:00,californiatelegraph.com,http://www.californiatelegraph.com/news/278676867/clearpoint-neuro-to-participate-in-multiple-global-healthcare-conferences-in-the-fourth-quarter-of-2025,2,"California, United States",US,USCA,,36.17,-119.746,CA
2025-11-05 22:45:00+00:00,upnorthlive.com,https://upnorthlive.com/news/nation-world/state-of-lung-cancer-report-shows-headway-against-deadly-disease-american-lung-association-health-biomarker-testing-for-lung-cancer-early-detection,2,"Utah, United States",US,USUT,,40.1135,-111.854,UT
2025-11-05 22:45:00+00:00,upnorthlive.com,https://upnorthlive.com/news/nation-world/state-of-lung-cancer-report-shows-headway-against-deadly-disease-american-lung-association-health-biomarker-testing-for-lung-cancer-early-detection,2,"Rhode Island, United States",US,USRI,,41.6772,-71.5101,RI
2025-11-05 22:45:00+00:00,upnorthlive.com,https://upnorthlive.com/news/nation-world/state-of-lung-cancer-report-shows-headway-against-deadly-disease-american-lung-association-health-biomarker-testing-for-lung-cancer-early-detection,1,Americans,US,US,,39.828175,-98.5795,US
